QuarterDate,Quarter,OneYearLPRRate,Inflation,NominalGDP,UnemploymentRate,Ystar,OutputGap,Istar,TaylorDeviation,Debt,DebtMinusHalf,PrimExp
2010-01-01,2010Q1,0.0531,0.02071556,9556960581127.217,0.040999999999999995,9527995474883.572,0.0030399999999998397,3.0325933399999996,-0.029794933399999994,-0.33899999999999997,-0.33899999999999997,-0.24642903834062999
2010-04-01,2010Q2,0.0531,0.02718078,10035487631578.383,0.040999999999999995,10005072212053.74,0.003039999999999921,3.04229117,-0.0298919117,-0.33899999999999997,-0.33899999999999997,-0.24642903834062999
2010-07-01,2010Q3,0.0531,0.032645640000000004,10514672944583.564,0.040999999999999995,10482805216724.723,0.00303999999999987,3.05048846,-0.029973884599999997,-0.33899999999999997,-0.33899999999999997,-0.24642903834062999
2010-10-01,2010Q4,0.056433333333333335,0.04642333,10992672206526.83,0.040999999999999995,10959355765001.227,0.0030399999999999807,3.071154995,-0.03014721661666667,-0.33899999999999997,-0.33899999999999997,-0.24642903834062999
2011-01-01,2011Q1,0.05976666666666666,0.05223647,11473606069768.979,0.040999999999999995,11438832020426.88,0.0030399999999999945,3.0798747050000004,-0.03020108038333334,-0.33799999999999997,-0.33899999999999997,-0.26626602483709
2011-04-01,2011Q2,0.06309999999999999,0.059540949999999995,11921894493622.78,0.040999999999999995,11885761777818.213,0.003039999999999919,3.0908314249999997,-0.03027731425,-0.33799999999999997,-0.33899999999999997,-0.26626602483709
2011-07-01,2011Q3,0.06559999999999999,0.06438447,12319444238536.725,0.040999999999999995,12282106634368.246,0.0030399999999999225,3.0980967049999997,-0.03032496705,-0.33799999999999997,-0.33799999999999997,-0.26626602483709
2011-10-01,2011Q4,0.06559999999999999,0.04620924,12673027318371.44,0.040999999999999995,12634618079410.033,0.0030399999999999802,3.07083386,-0.030052338600000002,-0.33799999999999997,-0.33799999999999997,-0.26626602483709
2012-01-01,2012Q1,0.06559999999999999,0.03727297,12988159208581.916,0.040999999999999995,12948794872170.518,0.003040000000000005,3.0574294550000003,-0.029918294550000005,-0.344,-0.33799999999999997,-0.27669759388193
2012-04-01,2012Q2,0.06476666666666665,0.02771089,13289929279760.332,0.040999999999999995,13249650342718.469,0.0030399999999999347,3.0430863350000004,-0.029783196683333336,-0.344,-0.33799999999999997,-0.27669759388193
